album_id,artist_id,title,release_date,album_type,total_tracks,duration_seconds,cover_image_url
48,11,Road Trip (48),1993-05-02,compilation,9,1620,https://covers.example.com/album_48.jpg
49,11,Quiet Moments (49),2023-09-05,EP,7,1687,https://covers.example.com/album_49.jpg
50,11,Metal Mayhem (50),2009-10-25,EP,6,1296,https://covers.example.com/album_50.jpg
51,11,Metal Mayhem (51),2001-11-01,single,1,248,https://covers.example.com/album_51.jpg
52,11,Street Life (52),2018-06-29,single,2,584,https://covers.example.com/album_52.jpg
53,12,Acoustic Sessions (53),2010-03-07,compilation,15,4485,https://covers.example.com/album_53.jpg
54,12,Street Life (54),2006-03-17,album,8,1744,https://covers.example.com/album_54.jpg
55,12,Peaceful Mind (55),2012-05-20,single,3,714,https://covers.example.com/album_55.jpg
56,13,Festival (56),2018-08-14,compilation,10,2390,https://covers.example.com/album_56.jpg
57,13,Autumn Leaves (57),2010-10-31,EP,4,800,https://covers.example.com/album_57.jpg
58,13,Rap Battle (58),2004-05-08,compilation,12,2172,https://covers.example.com/album_58.jpg
59,13,Street Life (59),2021-06-20,album,12,3192,https://covers.example.com/album_59.jpg
60,13,Urban Poetry (60),2023-05-28,EP,5,1445,https://covers.example.com/album_60.jpg
61,13,Rock Anthems (61),2019-02-11,compilation,14,3094,https://covers.example.com/album_61.jpg
62,14,Love Songs (62),2005-04-22,single,2,482,https://covers.example.com/album_62.jpg
63,14,Journey Home (63),2010-09-12,EP,4,916,https://covers.example.com/album_63.jpg
64,15,Passion (64),2019-05-21,album,13,3302,https://covers.example.com/album_64.jpg
65,15,Rap Battle (65),2023-05-01,single,3,678,https://covers.example.com/album_65.jpg
66,15,Grunge Days (66),2023-06-28,EP,4,780,https://covers.example.com/album_66.jpg
67,16,Seasons (67),2024-04-09,EP,7,2086,https://covers.example.com/album_67.jpg
68,16,Hip Hop Chronicles (68),2019-08-14,album,9,2043,https://covers.example.com/album_68.jpg
69,16,Serenity (69),2015-12-31,EP,5,1205,https://covers.example.com/album_69.jpg
70,16,Revolution (70),2022-04-30,compilation,13,3497,https://covers.example.com/album_70.jpg
71,16,Quiet Moments (71),2017-11-25,compilation,16,4432,https://covers.example.com/album_71.jpg
72,17,Alternative Reality (72),2015-09-10,single,4,1080,https://covers.example.com/album_72.jpg
73,17,Homecoming (73),1994-10-08,single,1,286,https://covers.example.com/album_73.jpg
74,17,Quiet Moments (74),1999-05-19,EP,5,1105,https://covers.example.com/album_74.jpg
75,18,Passion (75),2025-04-26,single,2,484,https://covers.example.com/album_75.jpg
76,18,The Beginning (76),2013-09-06,compilation,8,1568,https://covers.example.com/album_76.jpg
77,18,Club Nights (77),2023-08-05,compilation,15,2805,https://covers.example.com/album_77.jpg
78,18,Quiet Moments (78),1974-12-15,compilation,12,2760,https://covers.example.com/album_78.jpg
79,18,Winter Tales (79),2024-11-19,single,2,378,https://covers.example.com/album_79.jpg
80,18,Acoustic Sessions (80),1978-09-21,compilation,13,3237,https://covers.example.com/album_80.jpg
81,19,Greatest Hits (81),2005-10-03,compilation,8,1856,https://covers.example.com/album_81.jpg
82,19,Reflections (82),2013-08-05,EP,7,2058,https://covers.example.com/album_82.jpg
83,20,Passion (83),2015-11-25,compilation,14,3738,https://covers.example.com/album_83.jpg
84,20,Punk Chronicles (84),2016-04-30,EP,6,1212,https://covers.example.com/album_84.jpg
85,20,Celebration (85),2016-06-05,compilation,16,4368,https://covers.example.com/album_85.jpg
86,20,Darkness (86),2025-12-21,single,1,218,https://covers.example.com/album_86.jpg
87,20,Desire (87),2019-04-03,compilation,16,4560,https://covers.example.com/album_87.jpg
88,21,Summer Vibes (88),1976-12-01,compilation,13,2795,https://covers.example.com/album_88.jpg
89,21,Shadows (89),2022-03-25,single,1,233,https://covers.example.com/album_89.jpg
90,21,Serenity (90),1981-06-27,single,2,376,https://covers.example.com/album_90.jpg
91,22,Relaxation (91),2020-05-29,single,4,1064,https://covers.example.com/album_91.jpg
92,22,Hip Hop Chronicles (92),2023-08-11,single,2,370,https://covers.example.com/album_92.jpg
93,23,Passion (93),2021-11-02,EP,5,1450,https://covers.example.com/album_93.jpg
94,23,Flow State (94),2010-08-08,single,2,434,https://covers.example.com/album_94.jpg
95,23,Darkness (95),1998-08-17,album,13,2834,https://covers.example.com/album_95.jpg
96,23,Revolution (96),2001-06-24,EP,7,1505,https://covers.example.com/album_96.jpg
97,23,Live at Madison (97),2012-12-07,EP,7,1701,https://covers.example.com/album_97.jpg
98,24,Wanderlust (98),2016-04-19,compilation,16,4304,https://covers.example.com/album_98.jpg
99,24,Heartbreak Hotel (99),2015-06-15,compilation,10,2280,https://covers.example.com/album_99.jpg
100,25,Urban Poetry (100),2022-07-12,compilation,11,2398,https://covers.example.com/album_100.jpg
101,25,Hip Hop Chronicles (101),2020-08-24,EP,7,1757,https://covers.example.com/album_101.jpg
102,25,Heartbreak Hotel (102),2025-12-10,compilation,16,3152,https://covers.example.com/album_102.jpg
103,26,Summer Vibes (103),1989-08-18,album,11,2882,https://covers.example.com/album_103.jpg
104,26,The Beginning (104),1968-04-17,compilation,13,3224,https://covers.example.com/album_104.jpg
105,26,Rap Battle (105),1984-01-31,EP,4,912,https://covers.example.com/album_105.jpg
106,26,Alternative Reality (106),1976-11-17,single,1,282,https://covers.example.com/album_106.jpg
107,26,Urban Poetry (107),1978-09-27,EP,7,2037,https://covers.example.com/album_107.jpg
108,27,Seasons (108),1996-01-18,single,2,548,https://covers.example.com/album_108.jpg
109,27,Renaissance (109),1997-05-07,compilation,11,2530,https://covers.example.com/album_109.jpg
110,27,Summer Vibes (110),2013-02-24,album,12,2868,https://covers.example.com/album_110.jpg
111,27,Celebration (111),2002-06-19,album,12,2712,https://covers.example.com/album_111.jpg
112,28,Dance Floor (112),2017-01-22,compilation,9,2493,https://covers.example.com/album_112.jpg
113,28,Journey Home (113),2010-01-13,EP,6,1392,https://covers.example.com/album_113.jpg
114,28,Acoustic Sessions (114),1996-09-22,EP,5,1065,https://covers.example.com/album_114.jpg
115,28,Quiet Moments (115),2002-11-02,compilation,12,2460,https://covers.example.com/album_115.jpg
116,28,Road Trip (116),2021-07-23,EP,7,2002,https://covers.example.com/album_116.jpg
117,28,Summer Vibes (117),2025-05-13,compilation,16,4800,https://covers.example.com/album_117.jpg
118,29,Winter Tales (118),2010-09-03,compilation,15,3015,https://covers.example.com/album_118.jpg
119,29,Rap Battle (119),1996-04-12,album,10,2720,https://covers.example.com/album_119.jpg
120,29,Celebration (120),2014-04-27,compilation,10,2620,https://covers.example.com/album_120.jpg
121,29,Live at Madison (121),2019-12-23,single,1,186,https://covers.example.com/album_121.jpg
122,30,Heartbreak Hotel (122),2023-05-20,EP,5,1350,https://covers.example.com/album_122.jpg
123,30,Revolution (123),2025-11-01,single,2,476,https://covers.example.com/album_123.jpg
124,31,Live at Madison (124),1990-09-15,compilation,15,2700,https://covers.example.com/album_124.jpg
125,31,Celebration (125),1990-10-02,compilation,8,1976,https://covers.example.com/album_125.jpg
126,31,Rap Battle (126),2002-11-11,album,16,2912,https://covers.example.com/album_126.jpg
127,31,Club Nights (127),1994-10-20,compilation,10,2970,https://covers.example.com/album_127.jpg
128,32,Festival (128),1977-03-21,EP,5,1295,https://covers.example.com/album_128.jpg
129,32,Festival (129),1983-12-25,album,13,3653,https://covers.example.com/album_129.jpg
130,33,The Beginning (130),2023-04-19,album,14,3528,https://covers.example.com/album_130.jpg
131,33,Summer Vibes (131),2014-10-23,EP,6,1578,https://covers.example.com/album_131.jpg
132,33,Metal Mayhem (132),2022-02-03,single,1,228,https://covers.example.com/album_132.jpg
133,33,Departure (133),2013-03-19,compilation,8,2152,https://covers.example.com/album_133.jpg
134,33,Echoes (134),2022-09-25,single,4,1048,https://covers.example.com/album_134.jpg
135,34,Peaceful Mind (135),1988-08-11,single,1,207,https://covers.example.com/album_135.jpg
136,34,Grunge Days (136),1972-03-05,compilation,12,3576,https://covers.example.com/album_136.jpg
137,34,Greatest Hits (137),2018-07-22,album,16,4224,https://covers.example.com/album_137.jpg
138,34,Acoustic Sessions (138),1969-05-28,EP,6,1236,https://covers.example.com/album_138.jpg
139,35,Revolution (139),1991-11-07,compilation,9,1800,https://covers.example.com/album_139.jpg
140,35,Peaceful Mind (140),2025-09-28,EP,7,2058,https://covers.example.com/album_140.jpg
141,35,Celebration (141),1977-07-22,album,14,3934,https://covers.example.com/album_141.jpg
142,35,Grunge Days (142),1969-10-26,single,3,576,https://covers.example.com/album_142.jpg
143,35,Romance (143),1995-07-23,EP,4,1028,https://covers.example.com/album_143.jpg
144,35,Flow State (144),1967-08-29,compilation,13,3393,https://covers.example.com/album_144.jpg
145,36,Passion (145),1993-12-03,compilation,11,2750,https://covers.example.com/album_145.jpg
146,36,Departure (146),2022-12-24,compilation,10,2540,https://covers.example.com/album_146.jpg
147,36,Punk Chronicles (147),2017-07-01,compilation,9,1953,https://covers.example.com/album_147.jpg
148,36,Summer Vibes (148),1986-01-15,single,1,199,https://covers.example.com/album_148.jpg
149,37,Hip Hop Chronicles (149),2001-05-30,EP,7,1582,https://covers.example.com/album_149.jpg
150,37,Chapter Two (150),2000-08-28,single,1,236,https://covers.example.com/album_150.jpg
151,37,Homecoming (151),1984-11-20,album,9,1719,https://covers.example.com/album_151.jpg
152,37,Reflections (152),2022-12-21,compilation,15,3765,https://covers.example.com/album_152.jpg
153,37,Club Nights (153),1975-05-11,compilation,9,1719,https://covers.example.com/album_153.jpg
154,38,Quiet Moments (154),2024-05-16,single,3,687,https://covers.example.com/album_154.jpg
155,38,Midnight Dreams (155),2013-09-12,album,14,3906,https://covers.example.com/album_155.jpg
156,38,The Beginning (156),2020-05-16,EP,5,1140,https://covers.example.com/album_156.jpg
157,38,Echoes (157),2011-10-03,EP,6,1284,https://covers.example.com/album_157.jpg
158,39,Revolution (158),2023-11-16,single,2,430,https://covers.example.com/album_158.jpg
159,39,Heartbreak Hotel (159),2019-11-12,album,15,3390,https://covers.example.com/album_159.jpg
160,39,Winter Tales (160),2025-08-29,EP,7,1806,https://covers.example.com/album_160.jpg
161,39,Shadows (161),2020-07-08,compilation,9,1962,https://covers.example.com/album_161.jpg
162,39,Midnight Dreams (162),2025-12-15,compilation,13,2964,https://covers.example.com/album_162.jpg
163,40,Passion (163),1989-03-19,album,14,3052,https://covers.example.com/album_163.jpg
164,40,Journey Home (164),2005-03-10,EP,7,1414,https://covers.example.com/album_164.jpg
165,40,Love Songs (165),2021-01-19,album,12,3036,https://covers.example.com/album_165.jpg
166,40,Summer Vibes (166),2002-02-23,album,14,3976,https://covers.example.com/album_166.jpg
167,41,Homecoming (167),2011-07-27,single,2,498,https://covers.example.com/album_167.jpg
168,41,Reflections (168),2016-10-10,single,4,824,https://covers.example.com/album_168.jpg
169,41,Passion (169),2021-09-26,album,9,2592,https://covers.example.com/album_169.jpg
170,41,Heartbreak Hotel (170),2013-05-30,compilation,10,2180,https://covers.example.com/album_170.jpg
171,41,Summer Vibes (171),2017-01-31,album,10,2340,https://covers.example.com/album_171.jpg
172,42,Greatest Hits (172),2025-02-12,compilation,15,3465,https://covers.example.com/album_172.jpg
173,42,Celebration (173),2000-08-25,compilation,16,4496,https://covers.example.com/album_173.jpg
174,42,Homecoming (174),2010-02-19,single,1,264,https://covers.example.com/album_174.jpg
175,42,Punk Chronicles (175),2000-12-26,album,10,2520,https://covers.example.com/album_175.jpg
176,42,Metal Mayhem (176),2018-04-23,compilation,13,2509,https://covers.example.com/album_176.jpg
177,43,Chapter Two (177),2014-11-27,album,11,3025,https://covers.example.com/album_177.jpg
178,43,Festival (178),2008-10-12,EP,7,1610,https://covers.example.com/album_178.jpg
179,44,Flow State (179),1968-03-15,EP,6,1446,https://covers.example.com/album_179.jpg
180,44,Chapter Two (180),1973-09-14,album,14,2716,https://covers.example.com/album_180.jpg
181,44,Rap Battle (181),1993-12-25,EP,6,1338,https://covers.example.com/album_181.jpg
182,44,Desire (182),1997-04-01,EP,7,1680,https://covers.example.com/album_182.jpg
183,44,Chapter Two (183),1994-08-12,compilation,15,2820,https://covers.example.com/album_183.jpg
184,45,Acoustic Sessions (184),2014-09-11,single,1,262,https://covers.example.com/album_184.jpg
185,45,Chapter Two (185),2018-07-29,EP,5,1010,https://covers.example.com/album_185.jpg
186,45,Quiet Moments (186),2019-07-23,EP,6,1404,https://covers.example.com/album_186.jpg
187,45,Desire (187),2021-02-14,EP,7,1421,https://covers.example.com/album_187.jpg
188,46,Rock Anthems (188),2004-04-23,compilation,14,3836,https://covers.example.com/album_188.jpg
189,46,Serenity (189),2022-04-08,EP,7,1603,https://covers.example.com/album_189.jpg
190,46,Midnight Dreams (190),2015-06-27,EP,5,1380,https://covers.example.com/album_190.jpg
191,47,Peaceful Mind (191),2015-03-16,single,2,442,https://covers.example.com/album_191.jpg
192,47,Shadows (192),2012-11-19,compilation,9,2385,https://covers.example.com/album_192.jpg
193,48,Festival (193),2022-10-21,album,14,3570,https://covers.example.com/album_193.jpg
194,48,Renaissance (194),2024-04-08,album,13,3367,https://covers.example.com/album_194.jpg
195,48,Reflections (195),2017-01-02,album,9,1980,https://covers.example.com/album_195.jpg
196,48,Renaissance (196),2016-08-16,EP,6,1218,https://covers.example.com/album_196.jpg
197,48,Homecoming (197),2023-05-20,EP,7,1792,https://covers.example.com/album_197.jpg
198,49,Peaceful Mind (198),2005-05-02,compilation,14,3388,https://covers.example.com/album_198.jpg
199,49,Rock Anthems (199),2018-12-19,EP,5,1080,https://covers.example.com/album_199.jpg
200,49,Evolution (200),2017-03-26,EP,6,1554,https://covers.example.com/album_200.jpg
201,50,Wanderlust (201),2003-02-15,single,4,816,https://covers.example.com/album_201.jpg
202,50,Departure (202),2019-01-22,compilation,14,3262,https://covers.example.com/album_202.jpg
203,51,Dance Floor (203),2014-09-10,EP,4,1124,https://covers.example.com/album_203.jpg
204,51,Urban Poetry (204),2014-09-25,EP,6,1290,https://covers.example.com/album_204.jpg
205,51,Darkness (205),2024-04-04,album,10,2520,https://covers.example.com/album_205.jpg
206,51,Street Life (206),2025-06-16,compilation,16,3104,https://covers.example.com/album_206.jpg
207,51,Peaceful Mind (207),2022-03-25,single,3,747,https://covers.example.com/album_207.jpg
208,52,Urban Poetry (208),1984-08-10,compilation,16,3744,https://covers.example.com/album_208.jpg
209,52,Chapter Two (209),1967-11-23,EP,6,1422,https://covers.example.com/album_209.jpg
210,53,Wanderlust (210),2000-04-07,single,4,1116,https://covers.example.com/album_210.jpg
211,53,Summer Vibes (211),2022-05-17,EP,6,1560,https://covers.example.com/album_211.jpg
212,53,Romance (212),2004-04-08,EP,5,1420,https://covers.example.com/album_212.jpg
213,53,Light (213),2018-11-16,single,3,645,https://covers.example.com/album_213.jpg
214,54,Celebration (214),2017-07-25,EP,6,1302,https://covers.example.com/album_214.jpg
215,54,Peaceful Mind (215),2013-02-19,album,16,3152,https://covers.example.com/album_215.jpg
216,54,Urban Poetry (216),2017-03-21,compilation,8,2320,https://covers.example.com/album_216.jpg
217,54,Metal Mayhem (217),2016-08-07,EP,5,990,https://covers.example.com/album_217.jpg
218,54,Hip Hop Chronicles (218),2019-10-23,album,11,2662,https://covers.example.com/album_218.jpg
219,54,Revolution (219),2019-06-01,album,14,3318,https://covers.example.com/album_219.jpg
220,55,Rock Anthems (220),2021-10-12,single,4,1100,https://covers.example.com/album_220.jpg
221,55,Autumn Leaves (221),2021-06-22,album,15,3315,https://covers.example.com/album_221.jpg
222,56,Midnight Dreams (222),2020-03-28,single,4,1060,https://covers.example.com/album_222.jpg
223,56,Grunge Days (223),2023-11-06,album,9,2232,https://covers.example.com/album_223.jpg
224,56,Love Songs (224),2024-07-02,EP,7,1449,https://covers.example.com/album_224.jpg
225,56,Dance Floor (225),2024-07-30,album,13,2808,https://covers.example.com/album_225.jpg
226,56,Road Trip (226),2023-09-06,EP,7,1561,https://covers.example.com/album_226.jpg
227,56,Alternative Reality (227),2008-03-26,single,1,260,https://covers.example.com/album_227.jpg
228,57,Electric Sunset (228),2018-08-04,single,2,476,https://covers.example.com/album_228.jpg
229,57,Midnight Dreams (229),1990-11-01,compilation,11,3212,https://covers.example.com/album_229.jpg
230,57,Metal Mayhem (230),2003-08-02,album,10,1910,https://covers.example.com/album_230.jpg
231,57,Metal Mayhem (231),1986-05-24,album,12,2724,https://covers.example.com/album_231.jpg
232,57,Punk Chronicles (232),2014-07-23,EP,4,1040,https://covers.example.com/album_232.jpg
233,58,Rap Battle (233),2023-05-08,EP,7,1337,https://covers.example.com/album_233.jpg
234,58,Hip Hop Chronicles (234),2018-05-24,single,1,241,https://covers.example.com/album_234.jpg
235,58,Greatest Hits (235),2021-10-28,EP,5,1335,https://covers.example.com/album_235.jpg
236,58,Passion (236),2023-10-20,single,1,223,https://covers.example.com/album_236.jpg
237,59,Romance (237),2011-08-04,EP,7,1463,https://covers.example.com/album_237.jpg
238,59,Departure (238),2012-04-25,single,1,220,https://covers.example.com/album_238.jpg
239,60,Seasons (239),1974-12-11,EP,7,1834,https://covers.example.com/album_239.jpg
240,60,Alternative Reality (240),2010-08-05,EP,4,1008,https://covers.example.com/album_240.jpg
241,60,Midnight Dreams (241),1994-07-04,EP,7,1904,https://covers.example.com/album_241.jpg
242,60,Light (242),2018-04-09,EP,7,1869,https://covers.example.com/album_242.jpg
243,61,Light (243),2012-02-21,single,1,276,https://covers.example.com/album_243.jpg
244,61,Renaissance (244),2018-08-19,compilation,13,2860,https://covers.example.com/album_244.jpg
245,61,Evolution (245),2023-06-17,EP,6,1140,https://covers.example.com/album_245.jpg
246,61,Summer Vibes (246),2023-10-08,album,8,2336,https://covers.example.com/album_246.jpg
247,61,Seasons (247),2025-10-10,EP,5,1150,https://covers.example.com/album_247.jpg
248,62,Metal Mayhem (248),2015-03-15,single,2,458,https://covers.example.com/album_248.jpg
249,62,Renaissance (249),2021-08-16,EP,7,1792,https://covers.example.com/album_249.jpg
250,62,Greatest Hits (250),2007-03-14,single,3,588,https://covers.example.com/album_250.jpg
251,62,Departure (251),2017-07-05,compilation,13,3471,https://covers.example.com/album_251.jpg
252,63,Urban Poetry (252),1996-09-30,compilation,9,2295,https://covers.example.com/album_252.jpg
253,63,Greatest Hits (253),2005-09-04,single,3,555,https://covers.example.com/album_253.jpg
254,63,Live at Madison (254),2008-11-06,compilation,16,4160,https://covers.example.com/album_254.jpg
255,64,Flow State (255),2013-02-02,compilation,14,2660,https://covers.example.com/album_255.jpg
256,64,Rock Anthems (256),1984-07-02,EP,6,1314,https://covers.example.com/album_256.jpg
257,64,The Beginning (257),2025-02-14,EP,5,1105,https://covers.example.com/album_257.jpg
258,64,Love Songs (258),2016-04-01,single,3,819,https://covers.example.com/album_258.jpg
259,64,Summer Vibes (259),1984-09-26,single,2,596,https://covers.example.com/album_259.jpg
260,64,Romance (260),1981-12-09,single,4,876,https://covers.example.com/album_260.jpg
261,65,Renaissance (261),2023-11-13,single,2,362,https://covers.example.com/album_261.jpg
262,65,Echoes (262),2021-11-12,compilation,13,3198,https://covers.example.com/album_262.jpg
263,65,Rap Battle (263),2020-03-03,album,10,1960,https://covers.example.com/album_263.jpg
264,66,Rap Battle (264),1998-01-20,single,1,283,https://covers.example.com/album_264.jpg
265,66,Romance (265),1973-09-23,album,16,3408,https://covers.example.com/album_265.jpg
266,66,Hip Hop Chronicles (266),2008-11-01,single,4,980,https://covers.example.com/album_266.jpg
267,66,Homecoming (267),2018-11-09,single,4,804,https://covers.example.com/album_267.jpg
268,67,Echoes (268),2022-02-11,album,9,2277,https://covers.example.com/album_268.jpg
269,67,Alternative Reality (269),2015-03-25,single,2,490,https://covers.example.com/album_269.jpg
270,67,Midnight Dreams (270),1992-12-20,single,1,185,https://covers.example.com/album_270.jpg
271,67,Party Time (271),2023-04-12,album,14,2786,https://covers.example.com/album_271.jpg
272,68,Acoustic Sessions (272),2005-11-14,compilation,11,2321,https://covers.example.com/album_272.jpg
273,68,Heartbreak Hotel (273),1983-12-28,album,12,3036,https://covers.example.com/album_273.jpg
274,68,Homecoming (274),1993-02-02,single,1,208,https://covers.example.com/album_274.jpg
275,69,Acoustic Sessions (275),2017-06-07,compilation,9,2610,https://covers.example.com/album_275.jpg
276,69,Spring Awakening (276),2008-12-08,album,13,3250,https://covers.example.com/album_276.jpg
277,69,Desire (277),2011-07-02,single,3,651,https://covers.example.com/album_277.jpg
278,69,Peaceful Mind (278),2017-05-28,album,11,2497,https://covers.example.com/album_278.jpg
279,69,Meditation (279),2023-06-06,compilation,11,3245,https://covers.example.com/album_279.jpg
280,69,Celebration (280),2007-02-22,EP,5,1495,https://covers.example.com/album_280.jpg
281,70,Electric Sunset (281),2025-01-19,EP,6,1722,https://covers.example.com/album_281.jpg
282,70,Grunge Days (282),1968-02-17,single,3,831,https://covers.example.com/album_282.jpg
283,70,Punk Chronicles (283),1977-04-29,compilation,12,2472,https://covers.example.com/album_283.jpg
284,70,Festival (284),2012-02-21,EP,7,1309,https://covers.example.com/album_284.jpg
285,70,Revolution (285),1971-12-09,album,9,2673,https://covers.example.com/album_285.jpg
286,71,Festival (286),2022-04-13,compilation,13,3575,https://covers.example.com/album_286.jpg
287,71,The Beginning (287),2020-11-04,single,2,378,https://covers.example.com/album_287.jpg
288,71,Meditation (288),2014-12-06,single,4,840,https://covers.example.com/album_288.jpg
289,72,Winter Tales (289),1998-04-09,album,14,3080,https://covers.example.com/album_289.jpg
290,72,Passion (290),1975-09-14,album,11,3300,https://covers.example.com/album_290.jpg
291,72,Shadows (291),1982-12-11,EP,4,772,https://covers.example.com/album_291.jpg
292,72,Echoes (292),1997-03-05,compilation,15,3480,https://covers.example.com/album_292.jpg
293,73,Celebration (293),2014-02-19,album,11,2409,https://covers.example.com/album_293.jpg
294,73,Desire (294),2006-01-10,album,9,1800,https://covers.example.com/album_294.jpg
295,74,Hip Hop Chronicles (295),1996-05-29,single,2,396,https://covers.example.com/album_295.jpg
296,74,The Beginning (296),2002-07-20,EP,6,1470,https://covers.example.com/album_296.jpg
297,74,Live at Madison (297),1982-08-07,album,12,2196,https://covers.example.com/album_297.jpg
298,74,Love Songs (298),2016-05-09,compilation,16,3376,https://covers.example.com/album_298.jpg
299,75,Desire (299),1990-11-23,single,2,362,https://covers.example.com/album_299.jpg
300,75,Live at Madison (300),1997-10-10,EP,5,1425,https://covers.example.com/album_300.jpg
301,76,Homecoming (301),1999-05-13,single,3,546,https://covers.example.com/album_301.jpg
302,76,Greatest Hits (302),2001-10-11,EP,7,1337,https://covers.example.com/album_302.jpg
303,76,Road Trip (303),2016-09-04,single,1,186,https://covers.example.com/album_303.jpg
304,76,Echoes (304),2018-04-03,compilation,14,2562,https://covers.example.com/album_304.jpg
305,76,Departure (305),2011-11-17,compilation,10,2070,https://covers.example.com/album_305.jpg
306,77,Autumn Leaves (306),2001-09-01,album,15,2760,https://covers.example.com/album_306.jpg
307,77,Serenity (307),2017-05-18,EP,6,1392,https://covers.example.com/album_307.jpg
308,77,Quiet Moments (308),1998-12-08,compilation,8,1720,https://covers.example.com/album_308.jpg
309,78,Evolution (309),2018-03-04,compilation,11,2321,https://covers.example.com/album_309.jpg
310,78,Rock Anthems (310),2003-03-21,single,4,964,https://covers.example.com/album_310.jpg
311,78,Celebration (311),2021-09-30,compilation,13,3172,https://covers.example.com/album_311.jpg
312,78,Journey Home (312),1987-02-18,compilation,12,2196,https://covers.example.com/album_312.jpg
313,78,Journey Home (313),1996-03-15,EP,4,748,https://covers.example.com/album_313.jpg
314,79,Festival (314),1993-04-27,album,11,2112,https://covers.example.com/album_314.jpg
